age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
35-44,Relationship Manager,50750.0,5000.0,USD,United States,New Jersey,Pittsburgh,15.5,9.0,College,Woman,Management,Lead/Executive
25-34,Physical Therapist,94000.0,0.0,USD,United States,Maryland,Baltimore,6.0,6.0,Professional Degree,Woman,Healthcare,Senior
25-34,Professional Development Specialist,105000.0,0.0,USD,United States,Washington,Seattle,15.5,9.0,Masters,Woman,Specialist,Lead/Executive
25-34,Office Coordinator,41429.0,1071.0,CAD,Canada,N/A,Prince George,15.5,3.0,College,Woman,Administrative & Operations,Lead/Executive
35-44,Vice President Analytics,130000.0,2000.0,USD,United States,Georgia,Atlanta,15.5,15.5,College,Woman,Analytics,Lead/Executive
35-44,Service Advisor,33800.0,30000.0,USD,United States,Pennsylvania,Allentown,3.0,3.0,High School,Woman,Consulting & Strategy,Mid Level
35-44,Communications Director,90000.0,0.0,USD,United States,Oregon,Tigard,15.5,9.0,Masters,Woman,Management,Lead/Executive
35-44,Pharmacy Technician Supervisor,69000.0,2000.0,USD,United States,Texas,Plano,25.5,25.5,College,Woman,Healthcare,Lead/Executive
45-54,Psychologist,120000.0,0.0,USD,United States,Pennsylvania,Philadelphia,35.5,25.5,Professional Degree,Woman,Healthcare,Lead/Executive
18-24,Administrator,60000.0,0.0,USD,United States,California,Los Angeles,3.0,3.0,Masters,Woman,Administrative & Operations,Mid Level
25-34,Administrative Assistant,36400.0,0.0,USD,United States,Kentucky,Mt. Washington,9.0,3.0,College,Woman,Administrative & Operations,Senior
25-34,Attorney,70000.0,0.0,USD,United States,Mississippi,Tupelo,6.0,6.0,Professional Degree,Woman,Legal Services,Senior
25-34,Teacher,83000.0,0.0,USD,United States,Maryland,Baltimore,9.0,9.0,Masters,Woman,Education & Training,Senior
25-34,Engineer 3,104000.0,17000.0,USD,United States,Maryland,Lusby,9.0,9.0,College,Woman,Engineering & Development,Senior
25-34,Chief Compliance Officer,60000.0,2000.0,USD,United States,Indiana,Bloomington,6.0,6.0,College,Woman,Management,Senior
35-44,Product Manager,100000.0,10000.0,USD,United States,Indiana,Indianapolis,15.5,6.0,College,Woman,Management,Lead/Executive
35-44,Sr. Instructional Designer,125000.0,0.0,USD,United States,Oregon,Portland Or,25.5,15.5,High School,Man,Engineering & Development,Lead/Executive
25-34,Archivist,47000.0,0.0,USD,United States,Illinois,"Chicago, Il",15.5,3.0,Masters,Woman,Administrative & Operations,Lead/Executive
25-34,Registered Nurse,59900.0,0.0,USD,United States,Oklahoma,Oklahoma City,15.5,15.5,College,Woman,Healthcare,Lead/Executive
35-44,Ip Assistant Clerk,37200.0,1000.0,USD,United States,California,Irvine,9.0,6.0,College,Woman,Administrative & Operations,Senior
35-44,Associate Director Of Marketing,107900.0,6000.0,USD,United States,Ohio,"Cincinnati, Oh",15.5,6.0,College,Woman,Management,Lead/Executive
25-34,Project Finance Manager,142000.0,28500.0,USD,United States,Massachusetts,Boston,6.0,6.0,Masters,Woman,Management,Senior
35-44,Controller,65000.0,0.0,USD,United States,Ohio,Columbus,15.5,3.0,College,Woman,Accountant & Finance,Lead/Executive
35-44,Publicist,120000.0,0.0,USD,United States,California,Los Angeles,15.5,15.5,Masters,Woman,Social Services,Lead/Executive
45-54,Editor,105000.0,0.0,USD,United States,California,Los Angeles,15.5,15.5,Masters,Man,Creative & Media,Lead/Executive
35-44,Pricing Specialist,125000.0,25000.0,USD,United States,Oregon,Hillsboro,15.5,3.0,Masters,Woman,Specialist,Lead/Executive
25-34,Director Of Product Management,185000.0,40000.0,USD,United States,New York,Rochester,9.0,9.0,College,Man,Management,Senior
25-34,Assistant Director Of Faculty Programs,85000.0,0.0,USD,United States,Massachusetts,Cambridge,9.0,3.0,PhD,Woman,Management,Senior
35-44,Marketing Strategist,67500.0,0.0,USD,United States,California,Escondido,6.0,6.0,College,Woman,Consulting & Strategy,Senior
35-44,General Manager,54500.0,6000.0,USD,United States,Ohio,Columbus,25.5,6.0,College,Woman,Management,Lead/Executive
35-44,Senior Biostatistician,125000.0,0.0,USD,United States,Texas,San Antonio,9.0,3.0,PhD,Woman,Engineering & Development,Senior
35-44,Senior Biostatistician,125000.0,0.0,USD,United States,Texas,San Antonio,9.0,3.0,PhD,Woman,Engineering & Development,Senior
25-34,Loan Processing Supervisor,63000.0,7000.0,USD,United States,Texas,Mckinney,15.5,15.5,College,Woman,Administrative & Operations,Lead/Executive
25-34,Senior It Project Manager,110000.0,0.0,USD,United States,Minnesota,Minneapolis,6.0,6.0,Masters,Woman,Management,Senior
35-44,Principal Data Scientist,143000.0,26500.0,USD,United States,Minnesota,Saint Paul,15.5,15.5,College,Man,Scientist,Lead/Executive
45-54,Director Of Product Management,165000.0,20000.0,USD,United States,Pennsylvania,Pittaburgh,25.5,9.0,College,Woman,Management,Lead/Executive
35-44,Setup Mechanic,70000.0,10000.0,USD,United States,Idaho,Lewiston,15.5,15.5,College,Man,Manual Labor,Lead/Executive
25-34,Adult Education Teacher,40000.0,0.0,USD,United States,Arkansas,Little Rock,6.0,6.0,Masters,Woman,Education & Training,Senior
35-44,Data Strategist,83000.0,0.0,USD,United States,Georgia,Atlanta,9.0,6.0,Masters,Woman,Consulting & Strategy,Senior
25-34,Systems Analyst,68000.0,0.0,USD,United States,Connecticut,Southington,9.0,9.0,College,Woman,Analytics,Senior
25-34,Software Engineer,80000.0,0.0,USD,United States,Ohio,Columbus,0.5,0.5,College,Man,Engineering & Development,Entry Level
